group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
fastml + random,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3244,small
smote + clustercentroid,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3695,medium
smote + clustercentroid,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.302,small
fastml + random,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3063,small
copulagan + random,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4672,medium
copulagan + random,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4353,medium
smote + condensednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4398,medium
gaussiancopula + condensednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3822,medium
gaussiancopula + condensednn,tvae + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3949,medium
adasyn + tomeklinks,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3641,medium
gaussiancopula + random,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2963,small
adasyn + onesidedselection,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3211,small
adasyn + onesidedselection,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4409,medium
gaussiancopula + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3843,medium
adasyn + tomeklinks,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4185,medium
adasyn + tomeklinks,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3405,medium
adasyn + tomeklinks,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4487,medium
adasyn + tomeklinks,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4821,large
gaussiancopula + random,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3447,medium
adasyn + onesidedselection,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4536,medium
gaussiancopula + random,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3347,medium
random + editednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3658,medium
copulagan + clustercentroid,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4666,medium
copulagan + clustercentroid,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4758,large
copulagan + clustercentroid,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3605,medium
adasyn + tomeklinks,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3373,medium
adasyn + onesidedselection,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4543,medium
adasyn + tomeklinks,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3089,small
adasyn + tomeklinks,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.45,medium
adasyn + random,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4936,large
adasyn + random,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3744,medium
random + clustercentroid,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4115,medium
adasyn + random,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4911,large
adasyn + random,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3858,medium
adasyn + onesidedselection,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4584,medium
random + clustercentroid,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3061,small
adasyn + tomeklinks,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4717,medium
adasyn + random,random + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3298,small
adasyn + random,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4285,medium
adasyn + random,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3716,medium
adasyn + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4945,large
adasyn + onesidedselection,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3503,medium
random + condensednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2942,small
adasyn + random,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3713,medium
random + editednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.282,small
random + clustercentroid,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.356,medium
copulagan + instancehardness,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3764,medium
copulagan + clustercentroid,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4572,medium
copulagan + clustercentroid,random + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3119,small
adasyn + nearmiss,random + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.355,medium
gaussiancopula + editednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3363,medium
random + nearmiss,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3715,medium
random + nearmiss,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3244,small
gaussiancopula + editednn,random + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3272,small
gaussiancopula + editednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3144,small
gaussiancopula + editednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3466,medium
gaussiancopula + editednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3168,small
adasyn + nearmiss,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.415,medium
copulagan + instancehardness,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3414,medium
gaussiancopula + editednn,gaussiancopula + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.295,small
gaussiancopula + condensednn,tvae + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3336,medium
gaussiancopula + condensednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4892,large
random + nearmiss,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3786,medium
adasyn + nearmiss,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3903,medium
adasyn + nearmiss,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4822,large
adasyn + nearmiss,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4603,medium
copulagan + clustercentroid,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3847,medium
fastml + clustercentroid,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.358,medium
adasyn + nearmiss,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.409,medium
copulagan + clustercentroid,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4001,medium
copulagan + clustercentroid,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.357,medium
copulagan + clustercentroid,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4761,large
copulagan + clustercentroid,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3495,medium
copulagan + condensednn,copulagan + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3685,medium
copulagan + condensednn,copulagan + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3614,medium
copulagan + condensednn,ctgan + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3685,medium
gaussiancopula + editednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4008,medium
copulagan + condensednn,ctgan + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3611,medium
adasyn + nearmiss,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3534,medium
adasyn + nearmiss,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4701,medium
gaussiancopula + nearmiss,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3752,medium
gaussiancopula + nearmiss,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.288,small
gaussiancopula + nearmiss,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.341,medium
copulagan + condensednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.318,small
adasyn + nearmiss,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4073,medium
copulagan + condensednn,ctgan + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4049,medium
ctgan + clustercentroid,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3637,medium
adasyn + random,copulagan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3744,medium
ctgan + clustercentroid,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4718,medium
