group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
0.25 + 0,0.25 + 0.125,0.0072,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1794,small
1 + 0.125,2 + 0,0.0076,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1788,small
1 + 0,auto + 0.125,0.0076,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1817,small
1 + 0.0625,auto + 0,0.008,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1732,small
0.5 + 0.25,1 + 0,0.008,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1734,small
auto + 0,auto + 0.0625,0.0083,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1819,small
1 + 0,2 + 0.125,0.0085,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1766,small
0.25 + 0.5,1 + 0,0.0093,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1773,small
1 + 0.0625,2 + 0,0.0096,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1762,small
2 + 0,auto + 0.0625,0.0099,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1825,small
1 + 0,1 + 0.125,0.0106,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1745,small
0 + 0.125,0.25 + 0,0.0109,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1716,small
1 + 0,1 + 0.0625,0.0134,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.174,small
1 + 0,auto + 0.0625,0.0139,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1774,small
0.25 + 0,0.25 + 0.0625,0.0144,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1716,small
0.5 + 0,0.5 + 0.0625,0.0252,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1645,small
0.5 + 0,0.5 + 0.125,0.0361,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1591,small
0.5 + 0.0625,auto + 0,0.0367,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1604,small
0.5 + 0.0625,2 + 0,0.0433,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1587,small
0.25 + 0.25,0.5 + 0,0.0466,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1646,small
0.5 + 0.125,auto + 0,0.052,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1578,small
0.5 + 0.0625,1 + 0,0.0591,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1552,small
0.5 + 0.125,2 + 0,0.0611,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1535,small
0.25 + 0.25,auto + 0,0.0668,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1593,small
0.25 + 0.25,2 + 0,0.0784,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1558,small
0.5 + 0.125,1 + 0,0.0828,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1496,small
0 + 0.25,0.5 + 0,0.0895,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1541,small
0.25 + 0.25,1 + 0,0.1059,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1516,small
0.25 + 0.125,0.5 + 0,0.1061,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1523,small
0 + 0.25,auto + 0,0.128,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1506,small
0 + 0.0625,0.25 + 0,0.1454,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1492,small
0.25 + 0.125,auto + 0,0.1495,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1479,small
0 + 0.25,2 + 0,0.1495,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1414,negligible
0 + 0.125,0.5 + 0,0.1673,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1475,small
0.25 + 0.125,2 + 0,0.1734,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1459,negligible
0.25 + 0.0625,0.5 + 0,0.1959,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1469,negligible
0 + 0.25,1 + 0,0.2009,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1362,negligible
0.25 + 0.125,1 + 0,0.2306,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1407,negligible
