group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
copulagan + editednn,random + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.92,large
copulagan + editednn,random + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9208,large
copulagan + editednn,random + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.799,large
copulagan + editednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9319,large
copulagan + editednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.92,large
copulagan + editednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9429,large
copulagan + editednn,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.828,large
copulagan + editednn,smote + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8052,large
copulagan + editednn,gaussiancopula + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9179,large
copulagan + condensednn,random + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.54,large
copulagan + condensednn,random + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9152,large
copulagan + condensednn,random + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8987,large
copulagan + editednn,fastml + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9143,large
copulagan + editednn,fastml + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8994,large
copulagan + editednn,fastml + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.794,large
copulagan + editednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9316,large
copulagan + editednn,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9096,large
copulagan + editednn,ctgan + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.92,large
copulagan + editednn,gaussiancopula + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9035,large
copulagan + editednn,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6719,large
copulagan + editednn,gaussiancopula + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9267,large
copulagan + editednn,gaussiancopula + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9143,large
copulagan + editednn,copulagan + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8718,large
copulagan + editednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.956,large
copulagan + condensednn,tvae + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8834,large
copulagan + condensednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.87,large
copulagan + condensednn,tvae + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8963,large
copulagan + editednn,gaussiancopula + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8044,large
copulagan + condensednn,tvae + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8831,large
copulagan + condensednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9418,large
copulagan + condensednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9462,large
copulagan + condensednn,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7143,large
copulagan + editednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9342,large
copulagan + condensednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9312,large
copulagan + condensednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9105,large
copulagan + condensednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9154,large
copulagan + condensednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.898,large
copulagan + editednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9471,large
copulagan + editednn,tvae + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9067,large
copulagan + editednn,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6236,large
ctgan + condensednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9242,large
ctgan + condensednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9259,large
ctgan + condensednn,tvae + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8493,large
ctgan + condensednn,tvae + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8794,large
adasyn + tomeklinks,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7052,large
ctgan + condensednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8357,large
ctgan + condensednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8558,large
ctgan + condensednn,tvae + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8407,large
ctgan + editednn,ctgan + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9273,large
ctgan + editednn,ctgan + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8751,large
ctgan + editednn,fastml + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9117,large
adasyn + tomeklinks,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7953,large
ctgan + editednn,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7499,large
ctgan + editednn,fastml + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9229,large
ctgan + editednn,fastml + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9188,large
ctgan + editednn,fastml + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8448,large
ctgan + editednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.936,large
