trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
94,copulagan,2,random,0.0625,0.9935066489688338,COMPLETE,2025-03-29 06:40:47.523088,2025-03-29 06:41:04.838720,17.315632
95,adasyn,0.25,clustercentroid,0,-1.0,COMPLETE,2025-03-29 06:41:04.856511,2025-03-29 06:41:04.900288,0.043777
96,adasyn,0.5,nearmiss,0,-1.0,COMPLETE,2025-03-29 06:41:04.911385,2025-03-29 06:41:04.954321,0.042936
97,random,0,instancehardness,0.25,0.9763580747443754,COMPLETE,2025-03-29 06:41:04.965510,2025-03-29 06:41:20.773346,15.807836
98,smote,0.25,onesidedselection,0,0.991343141164981,COMPLETE,2025-03-29 06:41:20.788095,2025-03-29 06:41:37.566267,16.778172
99,random,1,condensednn,0,0.98916403461858,COMPLETE,2025-03-29 06:41:37.580403,2025-03-29 06:41:53.309188,15.728785
100,adasyn,2,random,0.125,-1.0,COMPLETE,2025-03-29 06:41:53.321303,2025-03-29 06:41:53.370488,0.049185
101,random,1,nearmiss,auto,0.984870501399427,COMPLETE,2025-03-29 06:41:53.381880,2025-03-29 06:42:08.708344,15.326464
102,tvae,0,condensednn,0,-1.0,ERROR,,,0.0
103,tvae,1,clustercentroid,0,0.9869457197202036,COMPLETE,2025-03-29 06:42:23.514796,2025-03-29 06:42:39.670906,16.15611
104,tvae,auto,nearmiss,0.5,0.9826747146507947,COMPLETE,2025-03-29 06:42:39.683382,2025-03-29 06:42:56.149413,16.466031
105,copulagan,0.25,onesidedselection,0.0625,0.984768810218344,COMPLETE,2025-03-29 06:42:56.163081,2025-03-29 06:43:13.428900,17.265819
106,smote,2,tomeklinks,0.125,0.9805547907596056,COMPLETE,2025-03-29 06:43:13.440632,2025-03-29 06:43:29.460480,16.019848
107,smote,auto,editednn,auto,0.9848822012062426,COMPLETE,2025-03-29 06:43:29.473261,2025-03-29 06:43:44.055105,14.581844
108,tvae,0.25,random,0.25,0.987038663735101,COMPLETE,2025-03-29 06:43:44.068431,2025-03-29 06:43:59.207884,15.139453
109,fastml,0.5,nearmiss,0.0625,0.9848225341252012,COMPLETE,2025-03-29 06:43:59.225703,2025-03-29 06:44:14.504759,15.279056
110,fastml,0.5,condensednn,auto,0.6002126634042212,COMPLETE,2025-03-29 06:44:14.520071,2025-03-29 06:44:27.165400,12.645329
111,tvae,0.25,instancehardness,auto,0.9826641023852425,COMPLETE,2025-03-29 06:44:27.179321,2025-03-29 06:44:43.814186,16.634865
112,random,0.5,random,0.0625,0.9891668172659909,COMPLETE,2025-03-29 06:44:43.825771,2025-03-29 06:45:00.516686,16.690915
113,adasyn,0.25,instancehardness,0,-1.0,COMPLETE,2025-03-29 06:45:00.539437,2025-03-29 06:45:00.582891,0.043454
114,adasyn,0,nearmiss,0.25,0.9892179705155923,COMPLETE,2025-03-29 06:45:00.594872,2025-03-29 06:45:16.415200,15.820328
