group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
ctgan + condensednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3352,medium
copulagan + condensednn,copulagan + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3337,medium
ctgan + condensednn,tvae + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3438,medium
ctgan + editednn,ctgan + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3106,small
random + condensednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.319,small
ctgan + editednn,ctgan + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3374,medium
ctgan + editednn,ctgan + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.337,medium
ctgan + editednn,ctgan + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3354,medium
ctgan + editednn,fastml + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3179,small
ctgan + editednn,fastml + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.337,medium
ctgan + editednn,fastml + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3485,medium
ctgan + editednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.366,medium
ctgan + editednn,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3582,medium
ctgan + editednn,gaussiancopula + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3062,small
ctgan + editednn,gaussiancopula + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3276,small
ctgan + instancehardness,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3305,medium
copulagan + condensednn,ctgan + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3471,medium
copulagan + tomeklinks,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3517,medium
copulagan + instancehardness,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2971,small
copulagan + instancehardness,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3712,medium
copulagan + condensednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4145,medium
copulagan + condensednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3773,medium
random + random,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.295,small
random + random,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3462,medium
gaussiancopula + random,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3305,medium
copulagan + condensednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3827,medium
copulagan + condensednn,random + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2427,small
gaussiancopula + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3499,medium
copulagan + instancehardness,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3142,small
copulagan + nearmiss,ctgan + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3306,medium
copulagan + nearmiss,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3235,small
copulagan + nearmiss,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3942,medium
random + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3755,medium
copulagan + condensednn,random + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3317,medium
gaussiancopula + nearmiss,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3293,small
random + random,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3629,medium
copulagan + nearmiss,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3032,small
gaussiancopula + nearmiss,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3124,small
copulagan + nearmiss,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3086,small
copulagan + instancehardness,ctgan + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3049,small
copulagan + instancehardness,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3096,small
gaussiancopula + random,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3119,small
random + nearmiss,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3386,medium
random + nearmiss,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3184,small
copulagan + condensednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3431,medium
copulagan + condensednn,tvae + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3624,medium
copulagan + condensednn,tvae + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3605,medium
copulagan + editednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2787,small
copulagan + condensednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4,medium
copulagan + condensednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4074,medium
copulagan + editednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3121,small
copulagan + condensednn,smote + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3315,medium
copulagan + editednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3172,small
copulagan + editednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.322,small
copulagan + editednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.369,medium
copulagan + editednn,smote + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3504,medium
copulagan + editednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3675,medium
copulagan + editednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3714,medium
gaussiancopula + tomeklinks,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3183,small
copulagan + editednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2793,small
copulagan + condensednn,smote + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3759,medium
fastml + condensednn,fastml + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.337,medium
copulagan + condensednn,smote + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3546,medium
copulagan + nearmiss,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3361,medium
copulagan + condensednn,random + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3421,medium
gaussiancopula + tomeklinks,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3345,medium
gaussiancopula + instancehardness,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3424,medium
copulagan + condensednn,gaussiancopula + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3254,small
copulagan + condensednn,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3699,medium
gaussiancopula + condensednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3293,small
gaussiancopula + condensednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3202,small
copulagan + condensednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3809,medium
copulagan + condensednn,fastml + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2826,small
copulagan + condensednn,fastml + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.353,medium
gaussiancopula + condensednn,smote + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3128,small
gaussiancopula + condensednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3364,medium
copulagan + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3565,medium
copulagan + random,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3088,small
gaussiancopula + condensednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.29,small
gaussiancopula + condensednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2813,small
copulagan + condensednn,fastml + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3551,medium
copulagan + tomeklinks,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3344,medium
copulagan + tomeklinks,ctgan + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3467,medium
random + tomeklinks,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3756,medium
gaussiancopula + condensednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2779,small
random + tomeklinks,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3592,medium
copulagan + condensednn,fastml + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3312,medium
gaussiancopula + condensednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2677,small
copulagan + random,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3434,medium
copulagan + tomeklinks,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4249,medium
copulagan + condensednn,gaussiancopula + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3509,medium
gaussiancopula + condensednn,tvae + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2605,small
copulagan + onesidedselection,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2703,small
gaussiancopula + instancehardness,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3273,small
copulagan + condensednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3593,medium
copulagan + condensednn,gaussiancopula + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3528,medium
gaussiancopula + editednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3522,medium
gaussiancopula + editednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3474,medium
gaussiancopula + editednn,smote + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3243,small
copulagan + random,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3285,small
copulagan + random,ctgan + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3475,medium
gaussiancopula + editednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3711,medium
gaussiancopula + editednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3045,small
gaussiancopula + editednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2992,small
copulagan + condensednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3624,medium
copulagan + random,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3371,medium
copulagan + random,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4073,medium
gaussiancopula + editednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3089,small
random + tomeklinks,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3029,small
random + tomeklinks,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3389,medium
random + instancehardness,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3425,medium
copulagan + random,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2676,small
copulagan + condensednn,gaussiancopula + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.331,medium
gaussiancopula + condensednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2691,small
ctgan + instancehardness,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3844,medium
fastml + random,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.357,medium
fastml + random,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2777,small
adasyn + condensednn,copulagan + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6567,large
fastml + editednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4905,large
fastml + editednn,smote + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.384,medium
adasyn + condensednn,copulagan + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6044,large
fastml + editednn,smote + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4592,medium
fastml + editednn,smote + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3892,medium
ctgan + tomeklinks,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3353,medium
ctgan + tomeklinks,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4118,medium
smote + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3948,medium
smote + random,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4013,medium
fastml + editednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4855,large
fastml + editednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4595,medium
fastml + editednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4637,medium
fastml + editednn,random + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2974,small
fastml + editednn,random + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4093,medium
